Timestamp,Continent,Texas,Undergrad,Computer,Tablet,Phone,Sports,Humor,R,Python,Programming,Queso,Band,LikeMath,Siblings,Belts,Street,ChatGPT,Claude
8/27/2024 17:20:04,North America,Yes,Communications,Mac,ipad,iPhone,Yes,What?,No,No,No,Torchy's,Greta van fleet,4,1,0,27th,Some,No
8/27/2024 17:20:32,Asia,No,Business,Windows,None,iPhone,Yes,Very yes,Yes,No,Yes,Torchy's,Switchfoot,9,1,1,NA,Some,Yes
8/27/2024 17:21:56,North America,No,Science,Mac,None,iPhone,Yes,Very yes,Yes,No,Yes,Torchy's,The Wailers,9,1,10,NA,A lot,No
8/27/2024 17:22:07,North America,No,Business,Windows,Other,Android,Yes,Very yes,Yes,Yes,Yes,Torchy's,Fall out boy,8,1,4,New Shmila Sector 4 ,Some,No
8/27/2024 17:22:18,North America,No,Business,Mac,ipad,iPhone,Yes,Very yes,No,No,No,,St. Lucia,6,2,5,Loma Larga,A lot,Yes
8/27/2024 17:27:50,Asia,No,Social sciences,Mac,ipad,iPhone,No,Very yes,Yes,Yes,Yes,Kirby Lane's,One Direction,8,1,2,NA,A lot,No
8/27/2024 17:27:53,North America,No,Communications,Mac,None,iPhone,Yes,Yes,No,No,No,Torchy's,The Beatles ,5,3,2,Chester Ct,Some,No
8/27/2024 17:27:59,North America,Yes,Business,Mac,ipad,iPhone,Yes,Very yes,Yes,No,No,Kirby Lane's,Wallows ,8,2,4,Shorehaven Dr,A lot,Yes
8/27/2024 17:30:01,North America,Yes,Business,Windows,None,iPhone,Yes,Yes,No,No,Yes,Torchy's,Radiohead ,8,1,1,Champions Drive,Some,No
8/27/2024 17:31:56,North America,No,Liberal arts,Mac,ipad,iPhone,Yes,Yes,Yes,No,Yes,Torchy's,Soda stereo,7,1,6,London ,Some,No
8/27/2024 17:33:33,North America,Yes,Social sciences,Mac,ipad,iPhone,Yes,Yes,Yes,No,Yes,Torchy's,Don't have one,7,2,3,NA,Some,No
8/27/2024 17:42:27,North America,Yes,Communications,Mac,ipad,iPhone,Yes,Very yes,No,No,Yes,Torchy's,Mt Joy,9,1,2,NA,Some,No
8/27/2024 17:46:55,North America,No,Liberal arts,Windows,None,Android,No,Very yes,Yes,No,Yes,Torchy's,Sir Woman,7,3,3,NA,Some,No
8/27/2024 17:53:07,Asia,No,Engineering,Mac,ipad,iPhone,Yes,Yes,No,Yes,Yes,Torchy's,I don't usually listen to band but if I have to pick one it's an Asian one called MayDay,7,2,2,NA,A lot,Yes
8/27/2024 17:55:51,North America,Yes,Business,Windows,None,iPhone,Yes,Yes,Yes,Yes,No,Kirby Lane's,ABBA,7,2,0,NA,Some,No
8/27/2024 18:09:16,North America,Yes,Liberal arts,Mac,ipad,iPhone,Yes,Very yes,Yes,No,No,Torchy's,Lulu,7,0,1,N/a,A lot,No
8/27/2024 18:12:26,North America,Yes,Communications,Mac,ipad,iPhone,Yes,Yes,No,No,Yes,Torchy's,Grateful Dead,7,1,1,Lorraine,A lot,No
8/27/2024 18:18:13,North America,No,Business,Mac,None,iPhone,Yes,Yes,Yes,No,Yes,Torchy's,Justice,10,2,5,Bura,A lot,No
8/27/2024 18:23:16,Asia,No,Business,Mac,None,iPhone,Yes,Yes,Yes,No,No,Torchy's,The Beatles,4,0,5,NA,A lot,Yes
8/27/2024 18:38:45,Asia,No,Other,Mac,None,iPhone,Yes,Yes,No,No,Yes,Torchy's,,8,1,3,NA,Some,No
8/27/2024 19:07:26,North America,Yes,Communications,Mac,ipad,iPhone,No,Very yes,No,No,No,Torchy's,Coldplay,4,1,3,Plumb st,Some,No
8/27/2024 19:08:37,Asia,No,Other,Mac,None,iPhone,Yes,What?,No,No,No,Torchy's,NA,3,2,1,NA,A lot,Yes
8/27/2024 19:31:55,North America,No,Engineering,Windows,ipad,iPhone,Yes,Very yes,Yes,Yes,Yes,Torchy's,Pink Floyd,10,1,6,"6330 Main St., Houston, Texas",A lot,No
8/27/2024 19:44:54,North America,Yes,Business,Mac,None,iPhone,Yes,Very yes,Yes,No,Yes,Torchy's,The Doors,10,1,0,NA,Some,No
8/27/2024 20:52:40,North America,No,Business,Mac,None,iPhone,Yes,Yes,No,No,No,Torchy's,Fleetwood Mac,5,0,3,Pismo,Some,No
8/27/2024 21:50:58,North America,No,Science,Mac,ipad,iPhone,Yes,Very yes,Yes,No,No,Torchy's,Queen,7,1,3,Arcadia Ridge Ln.,A lot,No
8/27/2024 21:54:41,North America,Yes,Communications,Mac,ipad,iPhone,Yes,Very yes,No,No,Yes,Kirby Lane's,The Neighbourhood,4,2,0,NA,Some,No
8/27/2024 22:12:33,North America,No,Communications,Mac,None,iPhone,Yes,Yes,Yes,Yes,Yes,Torchy's,Old Dominion ,7,2,7,Moss Landing,A lot,No
8/27/2024 22:51:49,Asia,No,Engineering,Windows,None,Android,Yes,Yes,No,No,No,Torchy's,Thaikkudam Bridge,5,0,2,NA,Some,No
8/27/2024 23:01:00,North America,Yes,Business,Windows,None,iPhone,Yes,Yes,No,No,No,Kirby Lane's,Disney because I spent a whole semester talking about its successes and failures in undergrad and it was fascinating.,7,2,3,Rustic Trail,Some,No
8/27/2024 23:32:58,Asia,No,Art or music,Mac,None,iPhone,No,No,No,No,Yes,Kirby Lane's,Seventeen,6,1,1,Ashley Ct.,A lot,No
8/27/2024 23:34:22,North America,No,Science,Mac,ipad,iPhone,Yes,Yes,Yes,Yes,Yes,Torchy's,The Beatles,1,3,4,Lenzi,Some,No
8/28/2024 7:22:47,North America,Yes,Business,Mac,None,iPhone,No,Yes,Yes,No,No,Kirby Lane's,I don’t really listen to bands. I’ve been listening to individual artists.,5,3,3,Park Place,Some,No
8/28/2024 7:57:45,North America,No,Liberal arts,Mac,ipad,iPhone,Yes,Yes,Yes,No,No,Kirby Lane's,Mumford & Sons,3,2,3,Althea,Some,No
8/28/2024 8:47:42,North America,No,Business,Windows,None,iPhone,Yes,Very yes,Yes,Yes,Yes,Torchy's,Young the Giant,7,2,1,NA,Some,No
8/28/2024 9:03:36,Asia,No,Business,Mac,None,,Yes,Very yes,Yes,No,Yes,Torchy's,Coldplay,6,2,1,NA,A lot,No
8/28/2024 10:50:40,North America,No,Communications,Mac,ipad,iPhone,Yes,Yes,No,No,No,,,6,2,2,NA,Some,No
8/28/2024 11:53:09,North America,Yes,Business,Other,None,iPhone,Yes,Yes,No,Yes,Yes,Torchy's,Mt Joy,4,1,1,Elm,A lot,No
8/28/2024 12:29:15,North America,Yes,Other,Mac,None,iPhone,Yes,Very yes,No,No,No,Kirby Lane's,Maroon 5,4,2,1,NA,Some,No
8/28/2024 13:22:00,North America,No,Business,Windows,ipad,iPhone,Yes,Very yes,Yes,Yes,Yes,Kirby Lane's,The Doobie Brothers ,4,1,4,Serene Hilltop Circle ,A lot,No
8/28/2024 13:26:27,Asia,No,Communications,Windows,ipad,iPhone,Yes,What?,Yes,Yes,Yes,Kirby Lane's,local train,4,1,2,NA,A lot,No
8/28/2024 14:43:21,North America,Yes,Liberal arts,Mac,None,iPhone,Yes,Yes,No,No,Yes,Torchy's,One Direction,6,2,2,NA,Some,No
8/28/2024 15:19:11,North America,Yes,Communications,Mac,ipad,iPhone,Yes,Very yes,No,No,No,Torchy's,Red Hot Chili Peppers,7,1,0,NA,Can't live without it,No
8/28/2024 15:36:16,North America,Yes,Business,Mac,None,iPhone,Yes,Yes,Yes,Yes,Yes,Torchy's,The Strokes,6,2,1,NA,Some,No
8/28/2024 16:27:12,North America,No,Science,Mac,None,iPhone,Yes,Very yes,Yes,No,No,Kirby Lane's,One Direction,5,2,1,NA,A lot,No
8/28/2024 16:50:46,Asia,No,Communications,Windows,ipad,iPhone,Yes,Very yes,Yes,Yes,Yes,Torchy's,New Jeans,3,2,2,NA,Some,Yes
8/28/2024 16:56:57,North America,No,Business,Windows,ipad,iPhone,Yes,Yes,No,No,No,Torchy's,The 1975,3,1,3,NA,A lot,No
8/28/2024 17:35:26,Europe,No,Business,Mac,None,iPhone,Yes,Yes,No,No,No,Kirby Lane's,Don't have a favorite,6,3,1,Turkey Creek,Some,No
8/28/2024 18:29:01,North America,Yes,Communications,Windows,ipad,iPhone,Yes,Yes,Yes,Yes,Yes,Kirby Lane's,Fuerza Regida,6,4,2,NA,A lot,No
8/28/2024 19:00:22,North America,No,Science,Mac,ipad,iPhone,Yes,Yes,Yes,No,No,Torchy's,Alo,5,3,4,NA,A lot,No
8/28/2024 19:15:16,Asia,No,Liberal arts,Mac,ipad,iPhone,No,No,Yes,Yes,Yes,Torchy's,Oasis,9,1,5,Parmer Lane,Some,Yes
